name,url,address,scope,country,state
Channel Network Afrique,http://channelnetworkafrique.com/,"2nd floor, suite 221, Back Wing, Lagos House, Plot 78 Ralph Shodeinde St, Central Business District, Abuja 900103, Federal Capital Territory, Nigeria",national,Nigeria,Plateau
Channels Television,https://channelstv.com/,"Abazie Ifeanyi Close, Guzape, Abuja 900110, Federal Capital Territory, Nigeria",national,Nigeria,Plateau
"Tvc News, Abuja Bureau",http://www.tvcnews.tv/,"22, Okemesi Crescent, Off Oro Ago St, Garki, Abuja 900103, Federal Capital Territory, Nigeria",national,Nigeria,Plateau
Silverbird Television Abuja,http://silverbirdgroup.com/,"1161 Sani Abacha Wy, Phase 1, Abuja 904101, Federal Capital Territory, Nigeria",national,Nigeria,Plateau
Trust TV,https://trusttv.com/,"20 P.O.W. Mafemi Cres, Mabushi, Abuja 900108, Federal Capital Territory, Nigeria",national,Nigeria,Plateau
Global TV Nigeria,https://globaltvabuja.com/,"Samuel Ademulegun Ave, Central Business District, Abuja 900103, Federal Capital Territory, Nigeria",national,Nigeria,Plateau
ourtv,http://www.ourtv.ng/,"zone7, 7 Sirasso Cl, off Kigoma Street, Wuse, Abuja 900002, Federal Capital Territory, Nigeria",national,Nigeria,Plateau
TV360 Nigeria,https://www.tv360nigeria.com/,"93C Oduduwa Cres, Ikeja GRA, Ikeja 100271, Lagos, Nigeria",national,Nigeria,Plateau
SignatureTV,http://www.signaturetv.org/,"Plot 1, VinMartin Ilo Avenue, Mamman Vatsa, Writers Village Maitama Extension, Abuja 900271, Federal Capital Territory, Nigeria",national,Nigeria,Plateau
"Human Rights Radio & TV, 101.1FM (Brekete Family)",http://www.facebook.com/humanrightsradio101.1,"2C8Q+2Q3, opposite human rights radio, Kwaba, Abuja 900103, Federal Capital Territory, Nigeria",national,Nigeria,Plateau
Nigezie TV,http://www.virtualmediang.com/,"1 Taiwo Odekunle St, Ifako Agege, Lagos 101232, Lagos, Nigeria",national,Nigeria,Plateau
Lagos Television (LTV),http://lagostelevision.com/,"Alhaji Lateef Jakande, Plot 1 Lateef Jakande Rd, Agidingbi, Ikeja 101233, Lagos, Nigeria",national,Nigeria,Plateau
AITNEWS24,http://aitlive.com/,"T. Y. Danjuma St, Asokoro, Abuja 900110, Federal Capital Territory, Nigeria",national,Nigeria,Plateau
TOS TV Network,http://www.tostvnetwork.com/,"17 Nun St, Maitama, Abuja 904101, Federal Capital Territory, Nigeria",national,Nigeria,Plateau
Unity Star Tv Africa - UStv Africa,https://ustvafrica.com.ng/,"3G3G+235, B104 Yakubu Gowon Cres, Asokoro, Abuja 900103, Federal Capital Territory, Nigeria",national,Nigeria,Plateau
Nigeria Standard Newspaper,https://nigeriastandardng.com/,"Garki, Abuja 900103, Federal Capital Territory, Nigeria",national,Nigeria,Plateau
CATHOLIC TELEVISION OF NIGERIA,http://ctvnigeria.org/,"51 Mambolo St, Wuse, Abuja 904101, Federal Capital Territory, Nigeria",national,Nigeria,Plateau
Cool FM,https://www.coolfm.ng/,"592 Independence Ave, Central Business Dis, Abuja 900103, Federal Capital Territory, Nigeria",national,Nigeria,Plateau
qualitytv,https://qualitytvng.com/,"Plot A29, Behind Karu Supreme Court Quarters, Karu Site, Abuja 900110, Federal Capital Territory, Nigeria",national,Nigeria,Plateau
Advent Cable Network Nigeria,http://www.acnntv.com/,"Zone B01 St Matthias House, Plot 942 Ibrahim Waziri Crescent Apo Abuja Rd, CAD, District 900110, Federal Capital Territory, Nigeria",national,Nigeria,Plateau
National Economy Newspaper,https://nationaleconomy.com/,"27 Ibrahim Tahir Street, Utako, Abuja 200009, Federal Capital Territory, Nigeria",national,Nigeria,Plateau
The Nation Newspaper,http://www.thenationonlineng.net/,"G8QW+WFF, 27b Fatai Atere Way, Matori, Lagos 100253, Lagos, Nigeria",national,Nigeria,Plateau
National Daily Newspaper,http://www.nationaldailyng.com/,"29b Emina Cres, Allen, Ikeja 100001, Lagos, Nigeria",national,Nigeria,Plateau
