name,url,address,scope,country,state
Cool FM,https://www.coolfm.ng/,"592 Independence Ave, Central Business Dis, Abuja 900103, Federal Capital Territory, Nigeria",national,Nigeria,
qualitytv,https://qualitytvng.com/,"Plot A29, Behind Karu Supreme Court Quarters, Karu Site, Abuja 900110, Federal Capital Territory, Nigeria",national,Nigeria,
Advent Cable Network Nigeria,http://www.acnntv.com/,"Zone B01 St Matthias House, Plot 942 Ibrahim Waziri Crescent Apo Abuja Rd, CAD, District 900110, Federal Capital Territory, Nigeria",national,Nigeria,
National Economy Newspaper,https://nationaleconomy.com/,"27 Ibrahim Tahir Street, Utako, Abuja 200009, Federal Capital Territory, Nigeria",national,Nigeria,
The Nation Newspaper,http://www.thenationonlineng.net/,"G8QW+WFF, 27b Fatai Atere Way, Matori, Lagos 100253, Lagos, Nigeria",national,Nigeria,
National Daily Newspaper,http://www.nationaldailyng.com/,"29b Emina Cres, Allen, Ikeja 100001, Lagos, Nigeria",national,Nigeria,
LEADERSHIP Newspapers,https://leadership.ng/,"27 Ibrahim Tahir Street, Utako, Abuja 900108, Federal Capital Territory, Nigeria",national,Nigeria,
Peoples Daily Newspaper,http://peoplesdailyng.com/,"35 Ajose Adeogun St, Utako, Abuja 900108, Federal Capital Territory, Nigeria",national,Nigeria,
NATIONAL ACCORD NEWSPAPER,http://nationalaccordnewspaper.com/,"3, 8 Jos St, Garki, Abuja 900103, Federal Capital Territory, Nigeria",national,Nigeria,
Our Nigeria News Magazine,https://ournigerianews.com/,"Zone 4, 2 Gwani St, Wuse, Abuja 904101, Federal Capital Territory, Nigeria",national,Nigeria,
Frontline News Online,http://www.frontlinenews.com.ng/,"4 A.E. Ekukinam St, AMAC, Abuja 900107, Federal Capital Territory, Nigeria",national,Nigeria,
Lens News – Nigeria’s Trusted Digital News Platform,https://lens.ng/,"D11 Rukayat Plaza, Jabi, AMAC, Abuja 900108, Federal Capital Territory, Nigeria",national,Nigeria,
Nigeria Today Magazine (Today Network Global),https://www.nigeriatodaymagazine.com/,"17 Onitsha Cres, Local, Garki, Abuja 900103, Federal Capital Territory, Nigeria",national,Nigeria,
Opinion Nigeria,https://www.opinionnigeria.com/,"No. 47B, Bannex Vinna Plaza, Wuse 2, Abuja 234009, Federal Capital Territory, Nigeria",national,Nigeria,
Media Bypass News,http://www.mediabypassnews.com/,"Municipal, Abuja 110001, Federal Capital Territory, Nigeria",national,Nigeria,
News Point Nigeria,https://www.newspointnigeria.com/,"25a Olu Awotesu St, municipal, Abuja 900108, Federal Capital Territory, Nigeria",national,Nigeria,
First News Media,http://www.firstnewsonline.ng/,"7a Alh. Hussein Sunmonu St, Eti-Osa, Lekki 105102, Lagos, Nigeria",national,Nigeria,
